4 reinas;time;states;solution;;8 reinas;time;state;solution;;10 reinas;time;state;solution
;0,833;1601;1;;;13,385;10000;0;;;20,797;10000;0
;0,001;1;1;;;15,460;10000;0;;;22,767;10000;0
;0,692;1318;1;;;15,354;10000;0;;;22,822;10000;0
;0,109;197;1;;;14,417;10000;0;;;22,467;10000;0
;0,632;1186;1;;;14,436;10000;0;;;22,085;10000;0
;0,586;1112;1;;;14,628;10000;0;;;22,372;10000;0
;0,002;3;1;;;14,457;10000;0;;;21,601;10000;0
;0,184;351;1;;;3,354;2239;1;;;22,119;10000;0
;0,009;3;1;;;14,516;10000;0;;;22,058;10000;0
;0,02;35;1;;;14,654;10000;0;;;22,274;10000;0
;0,372;698;1;;;14,621;10000;0;;;22,160;10000;0
;1,414;2574;1;;;14,820;10000;0;;;22,043;10000;0
;0,371;690;1;;;14,555;10000;0;;;22,158;10000;0
;0,003;1;1;;;14,727;10000;0;;;22,016;10000;0
;0,046;71;1;;;14,620;10000;0;;;22,275;10000;0
;0,006;1;1;;;15,973;10000;0;;;22,064;10000;0
;0,593;1060;1;;;14,918;10000;0;;;21,655;10000;0
;0,776;1441;1;;;14,705;10000;0;;;21,343;10000;0
;0,592;1124;1;;;14,702;10000;0;;;21,407;10000;0
;0,036;59;1;;;14,668;10000;0;;;21,471;10000;0
;0,013;6;1;;;14,793;10000;0;;;21,515;10000;0
;0,579;1076;1;;;14,680;10000;0;;;21,222;10000;0
;1,004;1834;1;;;14,765;10000;0;;;23,736;10000;0
;0,026;42;1;;;14,742;10000;0;;;22,085;10000;0
;1,167;2207;1;;;14,625;10000;0;;;21,436;10000;0
;0,033;52;1;;;14,533;10000;0;;;21,599;10000;0
;0,556;1039;1;;;12,399;8447;1;;;21,458;10000;0
;0,311;565;1;;;15,015;10000;0;;;21,406;10000;0
;0,007;1;1;;;14,669;10000;0;;;21,775;10000;0
;0,800;1453;1;;;14,558;10000;0;;;21,474;10000;0
;promedio:;promedio:;100;;;promedio:;promedio:;6,666666667;;;promedio:;promedio:;0
;0,392433333;726,7;;;;14,258;9689,533333;;;;21,922;10000;
;desviacion;desviacion;;;;desviacion;desviacion;;;;desviacion;desviacion;
;0,394876832;735,5572559;;;;2,105901899;1411,302513;;;;0,570758092;0;
