4 reinas;time;states;solution;;8 reinas;time;state;solution;;10 reinas;time;state;solution
;0,002;2;0;;;0,003;2;0;;;0,011;4;0
;0,002;1;0;;;0,008;3;0;;;0,011;3;0
;0,001;1;1;;;0,008;3;0;;;0,019;5;0
;0,005;1;0;;;0,007;3;1;;;0,014;4;0
;0,002;1;0;;;0,008;5;0;;;0,011;2;0
;0,005;1;0;;;0,013;5;1;;;0,01;3;0
;0,006;2;1;;;0,007;4;0;;;0,017;4;0
;0,003;1;0;;;0,007;4;1;;;0,021;6;0
;0,001;1;0;;;0,006;3;0;;;0,013;3;1
;0,001;1;1;;;0,006;4;1;;;0,012;3;0
;0,006;2;1;;;0,005;2;0;;;0,01;3;0
;0,004;0;0;;;0,004;3;0;;;0,01;3;0
;0,002;1;0;;;0,008;3;0;;;0,011;3;0
;0,001;3;1;;;0,007;3;0;;;0,018;5;0
;0,002;0;0;;;0,01;3;0;;;0,021;4;0
;0,001;1;1;;;0,007;4;1;;;0,015;4;0
;0,001;1;0;;;0,006;4;0;;;0,014;3;0
;0,009;0;0;;;0,008;4;0;;;0,017;4;0
;0,004;2;1;;;0,006;4;0;;;0,017;4;0
;0,003;2;1;;;0,007;3;0;;;0,018;5;0
;0,002;2;0;;;0,007;2;0;;;0,026;5;0
;0,003;1;0;;;0,008;3;0;;;0,017;5;0
;0,002;1;1;;;0,008;6;1;;;0,009;2;0
;0,003;2;1;;;0,009;5;1;;;0,015;4;0
;0,003;2;1;;;0,005;3;1;;;0,017;2;0
;0,001;1;0;;;0,005;2;0;;;0,013;3;0
;0,004;1;1;;;0,008;4;0;;;0,013;4;0
;0,003;2;1;;;0,003;1;0;;;0,021;7;0
;0,002;2;0;;;0,016;5;1;;;0,016;4;0
;0,001;3;1;;;0,007;4;1;;;0,021;5;0
;promedio:;promedio:;46,66666667;;;promedio:;promedio:;33,33333333;;;promedio:;promedio:;3,333333333
;0,002833333;1,366666667;;;;0,007233333;3,466666667;;;;0,015266667;3,866666667;
;desviacion;desviacion;;;;desviacion;desviacion;;;;desviacion;desviacion;
;0,00186339;0,752034278;;;;0,00253881;1,087300429;;;;0,004146752;1,146976702;
