4 reinas;time;states;solution;;8 reinas;time;state;solution;;10 reinas;time;state;solution
;0,001;31;1;;;0,033;1235;1;;;0,039;988;1
;0,002;20;1;;;0,032;1157;1;;;0,023;539;1
;0,005;16;1;;;0,016;442;1;;;0,012;281;1
;0,002;40;1;;;0,022;788;1;;;0,014;372;1
;0,004;53;1;;;0,024;842;1;;;0,038;1008;1
;0,002;5;1;;;0,014;354;1;;;0,167;5000;0
;0,005;21;1;;;0,007;132;1;;;0,007;191;1
;0,003;10;1;;;0,011;304;1;;;0,016;366;1
;0,004;40;1;;;0,011;269;1;;;0,11;3299;1
;0,008;23;1;;;0,005;117;1;;;0,117;3350;1
;0,003;29;1;;;0,013;250;1;;;0,085;2457;1
;0,001;14;1;;;0,021;735;1;;;0,027;793;1
;0,003;56;1;;;0,004;68;1;;;0,112;3229;1
;0,002;92;1;;;0,031;950;1;;;0,061;1722;1
;0,002;19;1;;;0,016;404;1;;;0,029;700;1
;0,002;31;1;;;0,03;859;1;;;0,005;82;1
;0,007;186;1;;;0,015;468;1;;;0,129;3419;1
;0,003;34;1;;;0,015;391;1;;;0,026;590;1
;0,001;6;1;;;0,03;1009;1;;;0,13;3893;1
;0,005;49;1;;;0,006;165;1;;;0,037;1029;1
;0,001;6;1;;;0,015;534;1;;;0,009;242;1
;0,001;8;1;;;0,059;2170;1;;;0,048;1269;1
;0,002;13;1;;;0,009;260;1;;;0,065;1895;1
;0,005;48;1;;;0,03;1089;1;;;0,027;661;1
;0,001;35;1;;;0,011;364;1;;;0,165;5000;0
;0,004;98;1;;;0,04;1368;1;;;0,023;532;1
;0,006;97;1;;;0,009;262;1;;;0,05;1344;1
;0,002;66;1;;;0,004;95;1;;;0,006;74;1
;0,003;3;1;;;0,005;141;1;;;0,046;1259;1
;0,001;19;1;;;0,008;115;1;;;0,017;455;1
;promedio:;promedio:;100;;;promedio:;promedio:;100;;;promedio:;promedio:;93,33333333
;0,003033333;38,93333333;;;;0,0182;577,9;;;;0,054666667;1534,633333;
;desviacion;desviacion;;;;desviacion;desviacion;;;;desviacion;desviacion;
;0,001870532;37,82938305;;;;0,012552291;478,9477599;;;;0,047912652;1443,52969;
